Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Negotiating with Agility,"<p>Negotiation is dynamic, fast paced, and uncertain. Agility is crucial to success. The best negotiators avoid one-size-fits-all solutions; instead, they use agile strategies to avoid obstacles and capitalize on unexpected opportunities. In this course, Michael Wheeler—Harvard Business School professor and negotiation expert—shares the strategies of agile negotiation with you. Learn how to ask penetrating questions, improvise, say yes and no the right way, and adapt your strategy over time. The skills you build in this course can help you close deals that might otherwise slip through your fingers, craft creative agreements that advance everyone's interests, and resolve minor differences before they escalate into costly disputes. Each lesson is illustrated with real-life examples and exercises to practice what you've learned in your own negotiations, large and small. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/negotiation-professional-certificate-by-american-negotiation-institute"" target=""_blank"">Professional Certificate</a> from American Negotiation Institute.</p>",Course,N/A,N/A,true,N/A,
Data Management with Apache NiFi,"<p>Apache NiFi is designed to automate the flow of data between software systems. If you are a data management professional, this course can give you the understanding you need to get started with this powerful tool. Janani Ravi guides you through getting started with Apache NiFi. Learn about core concepts and architecture, as well as how to download, start, and log into Apache NiFi on both macOS and Windows. Find out how to build and run data flows and how to integrate NiFi with PostgreSQL. Explore ways to configure and use NiFi processors and processing groups and integrate NiFi with Amazon S3. Plus, discover advanced features of NiFi dataflows like configuring back pressure, using a funnel in the dataflow, setting up monitoring and configuring alerts for a dataflow, and much more.</p>

<p>This course was created by Janani Ravi. We are pleased to host this training in our library.</p>",Course,2024-09-03 06:56 UTC,N/A,false,N/A,
Learning Regular Expressions,"Regular expressions can speed up tedious tasks and streamline your workflow.  They are an indispensable tool with programming languages like Java, JavaScript, Perl, Python, Ruby, C#, and more. In this course, instructor Kevin Skoglund goes over the definitions, details, and basic processes to start using regular expressions. Kevin explains what regular expressions are, what types are available in different programming languages, and what notations you should use. He dives into characters and character sets, then goes over how repetition is used with metacharacters, how it can be quantified, and more. He discusses grouping, alternation, and anchors. Kevin shows you how to capture content and create a backreference to the captured data. Plus, he covers positive and negative lookahead assertions, lookbehind assertions, and multiple lookaround assertions.",Course,2024-12-11 15:35 UTC,N/A,false,N/A,
Nano Tips for Leading Diverse Teams with Watchen Nyanue,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, join Watchen Nyanue Hampton—thought leader, career architect, and the founder of I Choose The Ladder—as she shares practical, easy-to-use strategies for navigating diverse team dynamics and reaching your full leadership potential.</p><p>Learn how to bridge the gap between effort and attitude, find comfort in discomfort, and value everyone’s unique lived experience. Get tips on establishing rules of engagement and creating clearly defined communication channels. Along the way, Watchen offers insights to help you build your awareness of team blindspots, embrace conflict, rotate meeting leadership, practice mindful communication, and celebrate success. By the end of this course, you’ll be equipped with the skills you need to lead your team with professional poise and aplomb.<p>",Course,2025-04-10 09:35 UTC,N/A,false,N/A,
Type Tips,"Take your love of letterforms to the next level with this series that explores all things, big and small, related to type and the practice of typography. These tips are aimed at people using Adobe Creative Cloud: primarily InDesign, Illustrator, and Photoshop. Some tips are specific to particular applications and some are purely conceptual and software agnostic.",Course,2022-09-26 09:40 UTC,N/A,false,N/A,
Fusion 360 Essential Training,"Design differently with Fusion 360. This cloud-powered tool from Autodesk is the key to instant 3D creativity, used for product design, mechanical engineering, and fabrication. This essential training gives you the expertise to use Fusion 360 to turn your ideas into ready-to-manufacture designs that flow to 3D printing, CNC milling, or injection molding. Instructor Nick Kloski, founder of HoneyPoint3D, provides an overview of all the basic operations in Fusion 360, including sketching, extruding 3D objects, sculpting, and surface modeling. He explains the functions of the software, while providing a solid foundation in the basics of effective 3D design. Learn how to plan a project; model your ideas; work with sketches, meshes, and surfaces; generate files for 3D printing; and analyze your designs. Plus, learn how to create photorealistic renderings and even animations of your Fusion 360 designs.<br><br>

Note: This course was created and produced by HoneyPoint3D. We are honored to host this training in our library.",Course,2022-01-12 12:07 UTC,N/A,true,N/A,
Job Interview Tips for Accountants,"If you’re an accountant looking for a new job and you see a hiring notice that suits your skill set perfectly, it may seem like all your hard work and experience is about to pay off. Of course, your last big hurdle is that you actually have to <i>get that job</a>. And as much as you may have a stellar command of accounting skills, communicating that to a prospective employer—particularly interviewers who don’t have accounting knowledge—requires an entirely different skill set. In this course, Ajay Pangarkar reveals the most common questions that accountants field in job interviews. In the first part of each chapter, Ajay presents a common interview question, and gives tips on how to answer. In the second part, he shows a job candidate answering that question in an interview, and presents a breakdown of the answer.
After finishing this course, you’ll be able to walk into your next interview armed with Ajay’s tips, and answer questions with specificity and confidence.",Course,2021-06-19 17:58 UTC,N/A,false,N/A,
Managing Your Sales Territory,"Territory management helps salespeople ensure they are spending their time wisely: doing the right activities with the best customers. But as time goes on, even the most exciting territories can seem small or stale. This course focuses on how to get the most out of your territory to achieve maximum prospecting results and maintain proper coverage. Jeff Bloomfield helps you organize your territory by company size or geography, identify the right areas to prospect, and grow your territory via networking. Last, he addresses the importance of ongoing records management: keeping an updated record of who has moved into your territory, who has left, and more. These sales tips will help you keep a positive attitude, stay organized, and breathe new life into well-trod territories.<br><br>

Note: This course was designed for regional territories, but sales reps with national or even international territories will still find tips applicable to their work.",Course,2018-10-13 05:56 UTC,N/A,false,N/A,
SketchUp for Interior Design,"SketchUp is a great tool for quickly visualizing an interior design project. Ed Cotey shows you how to develop a floor plan quickly, using an imported AutoCAD file and a number of SketchUp tools to build the walls, insert doors and windows, create and use materials, and apply special effects such as styles and shadows. Plus, learn to set up scenes for use in client presentations.",Course,2019-01-22 16:30 UTC,N/A,false,N/A,
Understanding and Prioritizing Data Privacy,"Get an introduction to the basics of data privacy: what it is, why it matters, and who it impacts, from consumers and private citizens to policymakers and C-suite business leaders. Michelle Dennedy, one of the data privacy community's strongest advocates, uses straight talk and engrossing stories and scenarios to illustrate why data privacy is becoming one of the most critical technology issues in our world today. Find out how organizations can build more robust systems, and extract maximum value from the data we do have access to. Explore what happens when data gets into the wrong hands, and learn what we need to know in order to protect ourselves in the face of a data-driven future.",Course,2024-11-04 07:12 UTC,N/A,false,N/A,
Power BI and BIM: Analysis and Visualization,"Do you want to build a career in BIM (building information modeling)? Are you interested in learning how to leverage Revit, Power BI, and Excel together? Instructor Brian Myers introduces you to tools that can help you. Learn what Microsoft Business Intelligence is and how it benefits the design communication process. Examine the differences between Power BI versions. Find out how to start a Power BI project, then explore the Power BI interface. Learn about sources for design data. Next, Brian explains Power BI project essentials, such as page size, text placement, use of images, and dividing your data into presentation options. Learn how to create a schedule in Revit and how to format and export data from Revit to Excel. Review types of data sources and how fields are used. Brian also goes into how to associate data sources, use visualizations, and filter your data. After this, he teaches a variety of floor plan tricks.",Course,2022-08-28 12:14 UTC,N/A,false,N/A,
"AutoCAD: Annotative Dimensions, Dimension Styles, and Dimension Families","<p>With so many AutoCAD users around the world, it’s essential to know how to wield the built-in power of annotative dimensions. As an architect, engineer, or building and construction management professional, annotative dimensions allow you to place dimension annotation at varying scales in your layout viewports to ensure that your designs are effectively communicated to the contractor on the job site, the production team on the factory floor, or the interior designer at the office.</p><p>In this course, join Autodesk Certified Instructor and Autodesk Expert Elite Shaun Bryant to learn more about why design communication is imperative for all AutoCAD users. Explore the fundamentals of annotative dimensioning along with the associated styles and families to build your AutoCAD skill set. As you progress through the course, Shaun shows you how to take advantage of cool, easy-to-use dimensioning tricks, such as working with overrides, deleting and purging styles and families, utilizing geometry, and creating annotative dimensions with active layout viewports.</p>",Course,2024-06-20 13:52 UTC,N/A,false,N/A,
Graphic Design Tips & Tricks,"John McWade, founder of <i>Before & After</i> and former senior staff author at LinkedIn Learning, presents a series that touches on all areas of design, helping designers new and old sharpen their skills and create more powerful work. This series covers a wide range of topics, from typography and layout to color and logo design, but each episode is a standalone technique that can be completed in just ten minutes or less.",Course,2020-12-10 12:33 UTC,N/A,false,N/A,
RubberHose Animation with After Effects,"RubberHose, a rigging script for Adobe After Effects, makes it easy to animate characters that are packed with personality. In this course, instructor Angie Taylor shares what you need to know to get up and running with this powerful software. Angie kicks off the course by explaining how to create a RubberHose arm and style it with shape layer operators. She then moves on to discuss how to create legs with RubberRig and RubberPin, as well as how to construct an easy walk cycle with RubberHose and the Motion Sketch tool in After Effects. She wraps up by detailing how to fine-tune your character animation and place a character into an animated scene.",Course,2021-05-04 21:39 UTC,N/A,false,N/A,
Marketing: Copywriting for Social Media,"<p>The right words can move your audience to act. But reliably finding those words—and fine-tuning them for posts on different social media platforms—is no easy feat. Instructor and personal branding guru Michaela Alexis understands this struggle. And in this course, she breaks down copywriting tools and strategies that can help you find your brand's voice and unlock social media success. Michaela shares trusty copywriting formulas and shows how buyer personas can help you craft more relevant written content. She explains how to tailor your copy specifically for various social platforms—like LinkedIn, Twitter, and the platforms from Meta: Facebook and Instagram. Plus, Michaela introduces tools that can help you keep your content readable and free of errors, while offering tips on continuously improving your posts using feedback and A/B testing. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/social-media-marketing-professional-certificate-by-hootsuite"" target=""_blank"">Professional Certificate</a> from Hootsuite.</p>",Course,2022-09-13 02:25 UTC,N/A,true,N/A,
Nano Tips for Strategic Thinking with Lisa Bodell,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in seconds. In this installment, Lisa Bodell offers tips on how to engage in consistent strategic planning techniques to hone in on an effective strategy, analyze competitors, and simplify decision-making.",Course,2024-09-29 15:35 UTC,N/A,true,N/A,
Blender 2.91 Essential Training,"Blender is a powerful open-source solution for 2D and 3D modeling, animation, compositing, and post-production. In this course, get a thorough overview of the feature set in Blender 2.91 and beyond, as well as practical production techniques that combine know-how with a healthy dose of how-to. Instructor David Andrade dives into specific techniques, such as scene layout and modeling, sculpting, texturing and shading, 2D and 3D animation, character rigging, dynamic simulations, rendering, and game engine exporting. Plus, get performance-boosting tricks to get Blender to render your creations even faster. Each lesson helps you gain the control and skill you need to create professional artwork for multiple platforms: games, movies, and animation.",Course,2021-08-08 18:43 UTC,N/A,false,N/A,
Succeeding in DevOps,"DevOps engineer is one of the most in-demand tech jobs on the market. But since this role is still relatively new, aspiring DevOps engineers may have a somewhat murky understanding of what the position entails. In this course, Laura Stone clearly outlines what's expected of DevOps practitioners, as well as what it takes to become a DevOps engineer (and how to excel once you've landed the job). She begins by highlighting the basic qualifications and training needed to land a job as a DevOps practitioner. Next, she provides a technical roadmap for the skills needed to gain an entry-level role in DevOps; shares tips from a DevOps recruiter;  and provides steps for measuring progress and achieving your goals throughout your DevOps career.",Course,2021-11-19 03:15 UTC,N/A,false,N/A,
Maya and Arnold: Exterior Lighting and Rendering,"Learn how to use Arnold rendering in Maya to improve your shots of architectural exteriors. Instructor George Maestri walks you through the entire process, from setting up a scene and environment to compositing the final shot in Photoshop. George provides an overview of the scene you are about to render. The course demonstrates how to set up Arnold and how to figure out where you should place your camera. Next, George explains how to add the different types of lighting that you can use in daytime shots. The course steps through how to render a daytime shot, from rendering a hero pass all the way through to your final rendering. Once the images are rendered, you can import them into Photoshop and set up the composite. After you learn about daytime shots, George walks through the process again, for nighttime shots, highlighting where the process is different.",Course,2022-02-18 12:19 UTC,N/A,false,N/A,
SOLIDWORKS: Designing Bearings,"Bearings are an amazing innovation in mechanical engineering. They can ensure that a part rotates or slides the way you want it to, and can ensure that parts don't move in directions they shouldn't. They can reduce friction, saving energy in your design. In this course, mechanical engineer and certified SOLIDWORKS expert Ryan Krawchuk teaches you the fundamentals of bearings, and models a series of different mechanical bearings, creating complex and dynamic multipart assemblies that behave as they would in the real world. Ryan covers three types of bearings—ball, roller, and spherical bearings—and shows how to design their constituent parts in SOLIDWORKS and combine those parts into a final bearing assembly.",Course,2022-07-07 15:49 UTC,N/A,true,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:145425,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:145425,Course,2018-12-25 21:09 UTC,N/A,false,N/A,
Excel: Tips and Tricks (2018),"Want to take your Excel game to the next level? In this course, veteran Excel trainer and instructor Dennis Taylor shares powerful tips, tricks, and shortcuts that can help you leverage more of what Excel has to offer. Learn time-saving tricks for creating formulas rapidly, accelerating data entry, and navigating within worksheets efficiently. Plus, discover drag and drop techniques, formatting shortcuts, charting and PivotTable tips, and much more.</br></br>

Note: This course was recorded on Excel for Office 365; however, most of the contents will benefit anyone using Office 2019 or 2016.",Course,2020-12-02 21:24 UTC,N/A,false,N/A,
"Japanese, Part 1: Basic Sounds, Phrases, and Characters","<p>In this course, Yuki Sasaki Caldwell—an experienced instructor of Japanese Language in the Department of Comparative Literature and Intercultural Studies at the University of Georgia (UGA)—teaches you the building blocks you need to begin your study of Japanese. Learn the five vowel and 15 consonant sounds of Japanese, only two of which differ significantly from English. Unlike the English alphabet, each Japanese character can represent a syllable, not just a single sound. Get an introduction to the three Japanese writing methods—hiragana, katakana, and kanji—and begin exploring how and when to use each. </p>

<p>This course was created by The Great Courses. We are pleased to host this training in our library.</p>",Course,2025-08-04 11:18 UTC,N/A,false,N/A,
SketchUp Pro Lunchtime Lessons,"Want to work smarter in SketchUp Pro? In this weekly series, instructor Rebecca Terpstra shares tips designed to help users enhance their SketchUp skills in their spare time. Rebecca offers her expert take on how to create precision-based models for your architectural and interior designs with this powerful 3D modeling application. Discover how to use the Paste in Place function to quickly and accurately group objects that belong together, use scenes effectively, make a variety of shapes using the Circle tool, and much more.",Course,2021-03-10 15:54 UTC,N/A,false,N/A,
Revit: MEP Families,"Revit families are an incredible feature, offering libraries of ready-made objects that can be used in CAD drawings or customized to fit any project. Families can also be modeled from scratch and shared with colleagues and clients. In this course, Eric Wing dives into Revit MEP families, a specific family type for mechanical, electrical, and plumbing (MEP) design. Eric shows how to model MEP families on a topic-by-topic basis, so you can learn the ins and outs of family creation while modeling exactly what you need for your drawings. He starts by reviewing the basics: parameters, connectors, dimensions, and various family modeling techniques, then investigates specific parts and systems that can be created with Revit families: electrical panels and junction boxes, recessed and track lighting, HVAC systems with ducting and air terminals, and pipe systems. Along the way, he introduces the reference planes, parameters, shapes, and hosting options necessary to build families on your own.",Course,2022-03-26 04:49 UTC,N/A,false,N/A,
Critical Thinking for Better Judgment and Decision-Making,"The pace of change and volume of information we encounter in daily life make it hard to think through decisions. Instead, people often rely on biases and rules of thumb, which trap them into drawing faulty conclusions. The most successful teams use critical thinking—objective and rational analysis—to illuminate the wisest conclusions. This course prepares leaders to hone the critical thinking skills of their entire organization. Learn how to upgrade critical thinking to avoid deceiving fallacies, spot misleading cognitive biases, craft better arguments, hone judgment, and improve decision-making. Instructor Becki Saltzman teaches skills that will improve how your company or team innovates, tackles challenges, and responds to change.",Course,2021-01-05 21:39 UTC,N/A,false,N/A,
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2020-11-11 16:16 UTC,N/A,false,N/A,
Photoshop 2021 New Features,"Photoshop 2021 is a big, ambitious update, packed with automated features, AI-enabled retouching filters, and time-saving innovations. In this course, expert Deke McClelland brings you up to speed with every single new feature in the software. Learn about the new Sky Replacement command, which lets you swap an ordinary sky for a more dramatic one. Discover Refine Hair, which turns a base selection into an impressive hair mask. Experiment with such practical and entertaining new filters as Skin Smoothing and Smart Portrait. Explore enhancements to Live Shapes, including on-canvas controls and a Line tool that draws open path outlines, complete with dynamic arrowheads. Learn how to review changes to collaborative cloud documents with the help of the powerful Version History panel. And that’s just the beginning. Check back for new videos every time Adobe releases an update.",Course,2021-08-02 17:41 UTC,N/A,true,N/A,
Transitioning to Product Management,"It's possible to jump into a product management role with a nontraditional background. In this course, product manager Cole Mercer shows you how. Cole provides a high-level overview of who a product manager is and what their role entails. He shares ways that you can prepare for this new role—including by building your portfolio and online brand—and provides tips that can help you determine whether to pursue product management at your current company or find a role elsewhere. Plus, discover the best places to look for and apply for a job in this field, how to interview for a product management role, and how to set yourself up for success once you've landed the gig.",Course,2021-03-29 11:14 UTC,N/A,false,N/A,
Small Business Photography for Non-Photographers,"Many small to medium businesses can't afford to hire a professional photographer, so they end up doing their own marketing and product photography—and it shows. But even if you're not naturally adept at taking pictures, there are steps you can take to create high-quality, consistent marketing photos of your products or service without spending a lot of time and money. In this course, Joseph ""PhotoJoseph"" Linaschke highlights these steps, discussing composition, camera selection and settings, lighting, and basic photo editing. Learn how to take stellar photos with a smartphone or full-size camera, use natural light to your advantage, work with props effectively, and more. Upon wrapping up this course, you'll be prepared to create compelling images that you can share on social media to generate interest in your brand.",Course,2021-06-22 18:31 UTC,N/A,false,N/A,
Agile at Work: Planning with Agile User Stories (2015),"Agile project teams create short user stories as a way to plan out the work for upcoming sprints. In this course, agile expert Doug Rose shows how to write these user stories and prioritize them in the product backlog. He also shows how to avoid the most common pitfalls with agile project planning.",Course,2021-08-21 04:22 UTC,N/A,false,N/A,
Harness Your Anxiety for Good,"<p>In this course, New York University neuroscientist Dr. Wendy Suzuki shares practical wisdom to help individuals harness the power of anxiety and turn it into a positive force. She discusses how to understand and influence anxiety positively and delves into the concept of ""good"" anxiety, illustrating how it can enhance performance and drive success. She reveals techniques for cultivating presence and routine, connecting to motivation and purpose, and dealing with common challenges like imposter syndrome. Plus, learn how to leverage anxiety to maximize your potential and stay present every day.
 </p><p>
This course was created by Morra Aarons-Mele of <i>The Anxious Achiever</i>. We are pleased to offer this insightful discussion in our library.",Course,2025-04-15 10:37 UTC,N/A,false,N/A,
Azure: Understanding the Big Picture,"This Azure fundamentals course is designed to give you a strong foundation in cloud computing, focusing specifically on Microsoft Azure services. Join instructor Walt Ritscher as he explores the big picture of cloud computing, including the benefits and different models like IaaS, PaaS, SaaS, and more. Learn how to navigate Azure, manage costs, and use the broad range of services available in Azure, from app services and API management to storage, databases, and beyond. Find out how Azure supports serverless computing and how to enhance your working knowledge of infrastructure components. Whether you're a developer, an IT professional, or just interested in cloud computing, this course equips you with the skills required to leverage Azure for building and managing applications in the cloud effectively.",Course,2024-10-04 12:42 UTC,N/A,false,N/A,
Managing a Design System with Sketch,"Once you've built a design system, you need an efficient way to update it and ensure the updates are delivered to your UX team. In this course, Anne Grundhoefer explains how to share and manage revisions to a design system, especially in organizations with a large number of team members, clients, and projects. Learn how to align your process with your visuals, share components using Sketch and Craft libraries, and hand off assets to developers with InVision Inspect. With shared libraries, solid documentation, a dedicated team, and a good governance plan, you can ensure your design system has long-term value, and that your patterns make it into your products.",Course,N/A,N/A,true,N/A,
Fusion 360: Generative Design,"Generative design technology gives engineers and designers an artificial intelligence copilot that presents solution options to engineering problems. In this course, learn when and how to leverage the generative design capabilities in Fusion 360. Instructor Thom Tremblay shows how to prepare a generative study for a model, define all the parameters for it, and generate a solution set. He then shows how to assess the study's results, adjust your design, and examine the new design using finite element analysis (FEA). Plus, learn about a few advanced generative design workflows, including how to clone an existing study and use it as a starting point for future studies with different values.",Course,2022-02-06 12:12 UTC,N/A,false,N/A,
Creating a Design System with Sketch,"Why reinvent the wheel? Design systems provide software designers and developers with a library of proven, reusable design patterns. They enhance team collaboration and bring consistency to the user experience. Learn the nuts and bolts of creating a design system in Sketch, the leading tool for UX and web design. Instructor Anne Grundhoefer builds in nested symbol-level management, color overrides and font styles, reusable icons, and interactive button and form field systems. She also helps you identify what components your organization needs by breaking down the existing product line.",Course,N/A,N/A,true,N/A,
Succeeding in a New Role By Managing Up,"The start of a career is an exciting yet vulnerable place to be. You have the freshness and energy on your side, but you also have very little experience with how your industry and your new company actually work. The good news is you’re not alone. We’ve all been there before. This course brings together advice from a diverse set of experts, such as Oscar-winning actor Ed Norton and Adam Grant, the youngest tenured professor at Wharton. They explain how to develop a fearless mindset and build the productivity and networking skills you need to succeed in a new role. By understanding the dynamics that early-career employees face and “managing up” by building strong relationships, you can gain the confidence and support you’ll need to thrive.<br><br>

This course includes videos from: <br>
<b>Edward Norton</b>, Oscar-winning actor and founder of CrowdRise<br>
<b>Kathryn Minshew</b>, founder and CEO of The Muse, a career-discovery platform<br>
<b>Adam Grant</b>, Wharton professor and expert in motivation and behavior<br>
<b>Sarah Robb O'Hagan</b>, executive, activist, entrepreneur, and the CEO of Flywheel Sports<br>
<b>Simon O. Sinek</b>, author of <i>Start with Why: How Great Leaders Inspire Everyone to Take Action</i><br>

Note: This course was produced by <a href=”https://edge.bigthink.com/users/sign_up” target=”_blank”>Big Think</a>. We are pleased to host this content in our library.",Course,2021-02-09 18:28 UTC,N/A,false,N/A,
Career Advice from Some of the Biggest Names in Business,"What if you could get career advice from the world's most influential thinkers, leaders, and innovators? People who have run the top companies, created the most beloved brands, transformed industries, and changed the world? Now you can. This course brings together the best insights from our collection of interviews with LinkedIn Influencers. CEOs such as Richard Branson, Bill Gates, Indra Nooyi, and Meg Whitman reveal what it takes to get your foot in the door and then work your way up. Discover why Starbucks founder Howard Schultz thinks that conviction is so critical, how Oprah found her vision, and what actress Priyanka Chopra does to find the next challenge. Each interview provides short and thoughtful tips you can use to propel your own career in the right direction.",Course,2020-10-31 21:32 UTC,N/A,false,N/A,
Learning Conversion Copywriting,"Conversion copywriting teaches you how to write compelling marketing copy that converts online prospects to customers. This course walks you through all the basic steps of conversion copywriting. Instructor Joanna Wiebe begins by teaching you how to think about conversion rate optimization from a strategic perspective, and then goes into the three steps of the conversion copywriting process. Joanna teaches you how to borrow messages from customers, including how to define, find, and research the voice of the customer (VOC). She explains how to find the what and how in your VOC, then what to do with your VOC. Next, she takes you through how to use proven frameworks to organize messages on a page, as well as how to write a first draft for web and email copy. Once your first draft is complete, Joanna shows you how to use copywriting formulas to increase the persuasive power of your headlines. Plus, learn how to make conversion copywriting an ongoing practice.",Course,2021-04-21 15:31 UTC,N/A,false,N/A,
What Video Camera Should I Buy?,"Video cameras have come a long way. They're smaller, lighter, and shoot in higher resolutions—4K and beyond. Now more than ever, we have to make the right choice on what camera to buy or rent for the type of productions we shoot. The lighting, the locations, the size of your team, and even the computer you use for video editing can all impact the decision.<br><br>

Evaluating your production workflow and the camera options out there can save you time, money, and maybe even your sanity. Camera enthusiast Erik Naso is here to help. He'll teach you how to ask the right questions and pick the right camera—balancing ""the camera I <em>should</em> buy"" with ""the camera I <em>want</em> to buy,"" so you end up happy with your purchase over the long run. Learn how to figure out your budget and needs; understand the different file formats, sensors, and lenses available; and choose the right accessories for any shooting situation.",Course,N/A,N/A,true,N/A,
Key Account Management,"In order to grow and expand, a company must protect its most important asset—its base of loyal customers. Some of these customers require special attention in order to retain them and acquire more business. In this course, marketing professor Drew Boyd shows you how to determine who your key customers are, and a strategy for managing your customers and your organization. Drew dives into the basics of key account management, explaining what it is, why it's important, and how to tackle the key account management process. He also shares how to select key accounts, develop a key account strategy, hire and train key account managers, and measure key account results.",Course,N/A,N/A,true,N/A,
Creating with Ableton Live Plugins and Instruments,"Explore the wide variety of powerful plugins and instruments in Ableton Live, the popular music production software. Instructor Rick Schmunk starts with an in-depth look at Sampler and how to create multi-sample presets, as well as overviews of the core instruments Electric, Collision, Analog, and Operator. Rick also covers audio and MIDI plug-ins through a variety of walkthroughs, tips, tricks, and examples.",Course,2024-08-24 10:57 UTC,N/A,false,N/A,
SketchUp Pro: Kitchen Design,"Have you been thinking about renovating your kitchen? Design the kitchen of your dreams with SketchUp. This course teaches you how to design a new kitchen that fits your existing space using this easy-to-use 3D drawing program. Scott Onstott shows how to model and digitally demolish your current kitchen to make room for the new design, and start adding new cabinets, counters, appliances, fixtures, and lighting, as well as modern, must-have features such as a standalone island. Plus, learn how to create an animated walkthrough with first-person navigation and animation. Along the way, you can learn how to work with SketchUp layers, groups, components, styles, scenes, and ready-made models from the 3D Warehouse.",Course,2021-06-09 09:02 UTC,N/A,false,N/A,
SOLIDWORKS: Sketching,"Sketching is the foundation for every 3D model in SOLIDWORKS. By bolstering your understanding of the suite of settings that deal with sketching in SOLIDWORKS, you can improve your designs and enhance your overall productivity. In this course, learn about the essential tools and functions for sketching in this powerful 3D CAD software. Instructor David Antanavige starts by reviewing basic sketch entities such as circles and splines. He also dives into other key topics such as sketch tools, sketch settings, spline tools, dimensions, and 3D sketching.",Course,2019-06-21 18:44 UTC,N/A,false,N/A,
Organizing Your Remote Office for Maximum Productivity,"Working remotely gives you amazing freedom, but how you set up your office makes all the difference. To maximize your productivity, you need to be able to easily transition from home life to work life and back again. From setting up your physical space to managing your digital life, author and productivity expert Paula Rizzo can help you get more done when working remotely. Learn to harness your personal productivity style to create an intentional workspace; adapt any room, regardless of size; choose the right equipment and technology; present better during video meetings; organize your documents and files; and set boundaries with those you share space with. Plus, learn to plan ahead to take your workspace on the road—wherever business takes you.",Course,2021-01-12 11:13 UTC,N/A,false,N/A,
Demystifying ChatGPT and Generative AI: What Every Professional Needs to Know,"Unlock the secrets of AI in this course with instructor Jules White. This course breaks down complex AI concepts into simple, easy-to-understand lessons, making generative AI accessible to everyone. Learn how to effectively integrate ChatGPT into your professional toolkit, boosting productivity, creativity, and innovation. Business leaders will gain strategic insights to effectively innovate and drive their organizations forward. Whether you're new to AI or looking to enhance your understanding, this course provides the essential knowledge and skills you need to stay ahead in the evolving digital landscape.",Course,2025-04-14 15:18 UTC,N/A,false,N/A,
Hands-On AI: Build Your Own GPTs,"Discover how to build AI applications without any coding. Using English as your new programming language, explore crafting advanced prompts, creating comprehensive knowledge bases, and personalizing model outputs for specific tasks. Join Alina Zhang, a seasoned data scientist, to create three custom GPTs: KK, Sun Tzu, and Lilis. Dive into innovative techniques, including the Pentagram framework for prompt engineering, chain-of-thought, few-shot learning, user intent detection, and strategies to safeguard against prompt injection attacks.",Course,2024-06-22 17:32 UTC,N/A,true,N/A,
Entrepreneurship Foundations,"<p>Join Kim Kaupe as she shares the steps to becoming a successful entrepreneur. Kim begins by providing a set of tools to assess a potential business opportunity, outlines some of the challenges you might face, and offers a formula for starting small and creating your new company. She covers how to raise funds and the importance of having the right tools available. She also identifies the important people in the process of entrepreneurship and how each plays a powerful role in your success. Finally, Kim shares how to find a tribe of supporters and how to scale your new business. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/entrepreneurship-learning-pathway"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2021-06-29 06:14 UTC,N/A,false,N/A,
After Effects Compositing: 4 Color Keying,"Color keying, also known as chroma keying, lets you shoot a foreground scene and insert it into virtually any background; this can save you money and allow you to create shots that are impossible or highly dangerous to take as a single shot. For it to be effective, the key is in the details. In this course, Mark Christiansen shows how to produce feature-film-quality keys in After Effects that fit well within their new scenes, while retaining the subtle details—be they strands of hair or soft or translucent edges—that make the results believable.<br><br>

Beginning with a brief explanation of the keying process, Mark takes you through the steps involved in creating a perfect green-screen key: generating a rough matte, eliminating color spill and matte lines, and refining problematic edges. He shows how to work with Keylight and Primatte—two indispensable keying tools in After Effects—and explains when to use one over the other. And for times when green screen won't work, he shows how to generate high-contrast mattes, or luma keys, based on the luminance data in your footage. Last, learn about compression and how to prep a shot for keying.",Course,2020-05-12 08:02 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4517613,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4517613,Course,2024-07-17 08:08 UTC,N/A,false,N/A,
